AAH,1010,001,Survey of Art & Arch Histor,38%,54%,6%,0%,0%,0%,0%,2%,0%,0%,0%,0%,"Lauritis, Beth Ann"
AAH,1010,003,Survey of Art & Arch Histor,95%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V"
AAH,2050,001,Art History and Theory I,93%,3%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Lauritis, Beth Ann"
AAH,3050,001,Contemporary Art History,73%,18%,5%,0%,5%,0%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V"
ACCT,2010,001,Financial Accounting Conc,39%,33%,16%,3%,2%,0%,0%,7%,0%,0%,0%,0%,"Schleifer, Lydia Lancaster Folger"
ACCT,2010,002,Financial Accounting Conc,39%,40%,15%,3%,2%,0%,0%,2%,0%,0%,0%,0%,"Schleifer, Lydia Lancaster Folger"
ACCT,2010,003,Financial Accounting Conc,29%,45%,21%,2%,2%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H"
ACCT,2010,004,Financial Accounting Conc,33%,37%,22%,0%,7%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H"
ACCT,2010,005,Financial Accounting Conc,55%,29%,10%,0%,0%,0%,0%,7%,0%,0%,0%,0%,"Schleifer, Lydia Lancaster Folger"
ACCT,2010,006,Financial Accounting Conc,24%,32%,36%,2%,2%,0%,0%,4%,0%,0%,0%,0%,"Grant, Julie H"
ACCT,2010,007,Financial Accounting Conc,27%,39%,27%,4%,2%,0%,0%,2%,0%,0%,0%,0%,"Grant, Julie H"
ACCT,2010,008,Financial Accounting Conc,25%,24%,24%,7%,10%,0%,0%,10%,0%,0%,0%,0%,"McMillan, Jeffrey J"
ACCT,2010,009,Financial Accounting Conc,29%,38%,21%,4%,2%,0%,0%,7%,0%,0%,0%,0%,"McMillan, Jeffrey J"
ACCT,2010,010,Financial Accounting Conc,34%,31%,23%,10%,0%,0%,0%,2%,0%,0%,0%,0%,"Hollingsworth, Carl W"
ACCT,2010,011,Financial Accounting Conc,54%,24%,14%,2%,2%,0%,0%,5%,0%,0%,0%,0%,"Tegen, Charles A"
ACCT,2010,012,Financial Accounting Conc,47%,37%,10%,3%,0%,0%,0%,3%,0%,0%,0%,0%,"Tegen, Charles A"
ACCT,2010,013,Financial Accounting Conc,25%,31%,25%,5%,5%,0%,0%,7%,2%,0%,0%,0%,"Weaver, Andy P"
ACCT,2010,014,Financial Accounting Conc,18%,33%,31%,5%,2%,0%,0%,11%,0%,0%,0%,0%,"Weaver, Andy P"
